scenario_ref,synthetic_ref,order_id,gross_amount,transaction_date,narration
NARR-006,REC-LED-001,ORD-b3af4805-B,3600.00,2026-08-17,Ledger entry for ORD-b3af4805-B
NARR-007,REC-LED-001,ORD-ae006077-B,5360.00,2026-08-13,Ledger entry for ORD-ae006077-B
EXACT-017,REC-LED-001,ORD-c83d6f90,660.00,2026-08-02,UPI transaction
UNQ-008,REC-LED-001,ORD-112eed84,1820.00,2026-08-01,Refund processing
EXACT-015,REC-LED-001,ORD-45f25bd4,7640.00,2026-08-01,Settlement transfer
TDLY-007,REC-LED-001,ORD-c4758588,7760.00,2026-08-03,Invoice settlement
LATE-003,REC-LED-001,ORD-d69cad2d-B,2620.00,2026-08-22,Direct deposit
LATE-005,REC-LED-001,ORD-a7d986aa-B,2390.00,2026-08-11,Payment for services rendered
NARR-004,REC-LED-001,ORD-532d48e6-B,3330.00,2026-08-14,Ledger entry for ORD-532d48e6-B
TDLY-001,REC-LED-001,ORD-69af1390,2200.00,2026-08-02,Direct deposit
EXACT-004,REC-LED-001,ORD-e91bc649,530.00,2026-08-01,Client remittance
UNQ-001,REC-LED-001,ORD-e76bdb90,3000.00,2026-08-01,Card settlement
RND-006,REC-LED-001,ORD-b01de657-B,2220.02,2026-08-01,Reconciliation entry
TDLY-013,REC-LED-001,ORD-0465f6fb,20320.00,2026-08-02,Order fulfillment payment
LATE-008,REC-LED-001,ORD-b5f7b21a-B,21170.00,2026-08-15,Payment for services rendered
NARR-001,REC-LED-001,ORD-abc23d49-B,22800.00,2026-08-13,Ledger entry for ORD-abc23d49-B
EXACT-020,REC-LED-001,ORD-7b352f8e,940.00,2026-08-02,Client remittance
RND-012,REC-LED-001,ORD-3f7168a2-B,20787.50,2026-08-02,Monthly subscription fee
RND-002,REC-LED-001,ORD-29c2bcba-B,1430.05,2026-08-01,Wire transfer
TDLY-011,REC-LED-001,ORD-861584ae,15300.00,2026-08-03,Commission disbursement
NARR-005,REC-LED-001,ORD-0905fa98-B,5340.00,2026-08-21,Ledger entry for ORD-0905fa98-B
TDLY-004,REC-LED-001,ORD-66369e54,2230.00,2026-08-03,UPI transaction
RND-003,REC-LED-001,ORD-a223c181-B,5690.05,2026-08-02,Commission disbursement
RND-009,REC-LED-001,ORD-8f3dbdfd-B,2251.50,2026-08-02,Vendor payout
LATE-007,REC-LED-001,ORD-a165ec28-B,2160.00,2026-08-11,Online payment
EXACT-010,REC-LED-001,ORD-a145d82e,5090.00,2026-08-02,Order fulfillment payment
RND-013,REC-LED-001,ORD-fc54b166-B,15791.50,2026-08-02,Online payment
UNQ-002,REC-LED-001,ORD-8905eee3,1760.00,2026-08-01,Payment for services rendered
RND-008,REC-LED-001,ORD-d1dd4c32-B,1990.01,2026-08-01,ACH credit
RND-005,REC-LED-001,ORD-3b1da642-B,2210.01,2026-08-02,Reconciliation entry
RND-001,REC-LED-001,ORD-0c3aee51-B,15670.07,2026-08-01,Wallet transfer
TDLY-009,REC-LED-001,ORD-c326288b,10280.00,2026-08-03,UPI transaction
RND-011,REC-LED-001,ORD-49d1e863-B,3272.50,2026-08-01,Client remittance
EXACT-012,REC-LED-001,ORD-378877a2,2610.00,2026-08-01,Adjustment entry
EXACT-011,REC-LED-001,ORD-0f156a6f,600.00,2026-08-01,Settlement transfer
EXACT-002,REC-LED-001,ORD-7bd4c3f4,5010.00,2026-08-02,Reconciliation entry
EXACT-018,REC-LED-001,ORD-aa10f749,15170.00,2026-08-02,Wire transfer
