scenario_ref,synthetic_ref,settlement_id,order_id,gross_amount,settlement_date,narration
DUP-004,REC-SET-001,SET-c97f6b3e-001,ORD-c97f6b3e,1680.00,2026-08-01,Client remittance
DUP-008,REC-SET-001,SET-ac78a0e5-001,ORD-ac78a0e5,1470.00,2026-08-01,Payment for services rendered
LATE-009,REC-SET-001,SET-dca544be-001,ORD-dca544be-A,3180.00,2026-08-01,Vendor payout
EXACT-007,REC-SET-001,SET-cf69bbc0-001,ORD-cf69bbc0,1060.00,2026-08-01,Direct deposit
REFD-002,REC-SET-001,SET-7409bf96-001,ORD-7409bf96-A,20480.00,2026-08-01,UPI transaction
DUP-010,REC-SET-002,SET-69656163-002,ORD-69656163,5990.00,2026-08-01,Payment gateway transfer
EXACT-006,REC-SET-001,SET-974dfe1a-001,ORD-974dfe1a,10050.00,2026-08-01,Online payment
EXACT-001,REC-SET-001,SET-28b14c40-001,ORD-28b14c40,500.00,2026-08-01,Direct deposit
RND-006,REC-SET-001,SET-b01de657-001,ORD-b01de657-A,2720.00,2026-08-01,Order fulfillment payment
TDLY-013,REC-SET-001,SET-0465f6fb-001,ORD-0465f6fb,20320.00,2026-08-01,UPI transaction
SPLT-008,REC-SET-001,SET-a08f3d70-001,ORD-a08f3d70-A,3140.00,2026-08-01,Monthly subscription fee
RND-008,REC-SET-001,SET-d1dd4c32-001,ORD-d1dd4c32-A,5740.00,2026-08-01,UPI transaction
UNQ-003,REC-SET-001,SET-8c1c3d04-001,ORD-8c1c3d04,8520.00,2026-08-01,Direct deposit
REFD-001,REC-SET-001,SET-f25ca133-001,ORD-f25ca133-A,1720.00,2026-08-01,Order fulfillment payment
FEE-001,REC-SET-001,SET-408762a0-001,ORD-408762a0-A,7850.00,2026-08-01,Bank credit
EXACT-012,REC-SET-001,SET-378877a2-001,ORD-378877a2,20110.00,2026-08-01,Direct deposit
DUP-008,REC-SET-002,SET-ac78a0e5-002,ORD-ac78a0e5,1470.00,2026-08-01,Client remittance
SPLT-006,REC-SET-001,SET-14acf163-001,ORD-14acf163-A,15620.00,2026-08-01,ACH credit
