scenario_ref,synthetic_ref,bank_utr,order_id,credit_amount,value_date,narration
EXACT-016,REC-BNK-001,BNK-a44aba41-001,ORD-a44aba41,900.00,2026-08-01,Wire transfer
FEE-011,REC-BNK-001,BNK-446a22be-001,ORD-446a22be-B,15415.00,2026-08-02,Payment gateway transfer
TDLY-002,REC-BNK-001,BNK-f9b903bb-001,ORD-f9b903bb,960.00,2026-08-03,Direct deposit
SPLT-003,REC-BNK-001,BNK-eb34da40-001,ORD-eb34da40-B,1025.00,2026-08-01,Refund processing
TDLY-006,REC-BNK-001,BNK-622bee1a-001,ORD-622bee1a,7750.00,2026-08-02,Refund processing
NARR-009,REC-BNK-001,BNK-58eeb801-001,ORD-58eeb801-B,22880.00,2026-08-12,Transfer mentioning ORD-58eeb801-B
TDLY-010,REC-BNK-001,BNK-3ea4caaa-001,ORD-3ea4caaa,1540.00,2026-08-03,Bank credit
FEE-006,REC-BNK-001,BNK-c41aa819-001,ORD-c41aa819-B,2350.00,2026-08-01,Adjustment entry
DUP-001,REC-BNK-001,BNK-ea95ce4e-001,ORD-ea95ce4e-B,2150.00,2026-08-06,Reconciliation entry
EXACT-013,REC-BNK-001,BNK-2720e289-001,ORD-2720e289,5120.00,2026-08-01,Settlement transfer
NARR-010,REC-BNK-001,BNK-241914d6-001,ORD-241914d6-B,6890.00,2026-08-15,Transfer mentioning ORD-241914d6-B
SPLT-004,REC-BNK-002,BNK-c62c416f-002,ORD-c62c416f-C,2810.00,2026-08-02,ACH credit
REFD-005,REC-BNK-001,BNK-f1533c72-001,ORD-f1533c72-B,1010.00,2026-08-01,Online payment
TDLY-008,REC-BNK-001,BNK-22625454-001,ORD-22625454,2270.00,2026-08-02,Card settlement
SPLT-005,REC-BNK-001,BNK-85e11505-001,ORD-85e11505-B,1535.00,2026-08-02,Adjustment entry
EXACT-009,REC-BNK-001,BNK-ca6681b0-001,ORD-ca6681b0,10080.00,2026-08-02,ACH credit
TDLY-003,REC-BNK-001,BNK-0cd9fe67-001,ORD-0cd9fe67,2720.00,2026-08-02,Client remittance
SPLT-008,REC-BNK-002,BNK-a08f3d70-002,ORD-a08f3d70-C,1080.00,2026-08-02,Client remittance
REFD-009,REC-BNK-001,BNK-e469eebe-001,ORD-e469eebe-B,550.00,2026-08-02,Reconciliation entry
SPLT-007,REC-BNK-001,BNK-894b0bfa-001,ORD-894b0bfa-B,890.00,2026-08-01,Direct deposit
FEE-003,REC-BNK-001,BNK-6f955b89-001,ORD-6f955b89-B,10335.00,2026-08-01,Reconciliation entry
UNQ-005,REC-BNK-001,BNK-a7c2ca67-001,ORD-a7c2ca67,2290.00,2026-08-01,Bank credit
EXACT-008,REC-BNK-001,BNK-b9f09f3a-001,ORD-b9f09f3a,570.00,2026-08-01,Vendor payout
RND-010,REC-BNK-001,BNK-c5dc7048-001,ORD-c5dc7048-B,1761.50,2026-08-01,ACH credit
SPLT-005,REC-BNK-002,BNK-85e11505-002,ORD-85e11505-C,1575.00,2026-08-01,Client remittance
SPLT-007,REC-BNK-002,BNK-894b0bfa-002,ORD-894b0bfa-C,990.00,2026-08-02,Refund processing
REFD-001,REC-BNK-001,BNK-f25ca133-001,ORD-f25ca133-B,2770.00,2026-08-01,Refund processing
NARR-008,REC-BNK-001,BNK-3f2c353d-001,ORD-3f2c353d-B,3870.00,2026-08-15,Transfer mentioning ORD-3f2c353d-B
LATE-002,REC-BNK-001,BNK-6e8595f5-001,ORD-6e8595f5-B,21110.00,2026-08-08,Refund processing
DUP-008,REC-BNK-001,BNK-ac78a0e5-001,ORD-ac78a0e5-B,16470.00,2026-08-06,Bank credit
SPLT-002,REC-BNK-002,BNK-c11ec485-002,ORD-c11ec485-C,10310.00,2026-08-01,Online payment
SPLT-002,REC-BNK-001,BNK-c11ec485-001,ORD-c11ec485-B,10270.00,2026-08-01,Online payment
EXACT-007,REC-BNK-001,BNK-cf69bbc0-001,ORD-cf69bbc0,7560.00,2026-08-01,Payment for services rendered
SPLT-010,REC-BNK-001,BNK-96f3b64a-001,ORD-96f3b64a-B,10320.00,2026-08-02,Bank credit
REFD-003,REC-BNK-001,BNK-1bbf0ece-001,ORD-1bbf0ece-B,490.00,2026-08-02,Card settlement
REFD-004,REC-BNK-001,BNK-f0b43f03-001,ORD-f0b43f03-B,1250.00,2026-08-01,Commission disbursement
LATE-010,REC-BNK-001,BNK-66c48a34-001,ORD-66c48a34-B,6190.00,2026-08-06,Wallet transfer
SPLT-003,REC-BNK-002,BNK-eb34da40-002,ORD-eb34da40-C,1065.00,2026-08-02,Payment gateway transfer
REFD-008,REC-BNK-001,BNK-072937f3-001,ORD-072937f3-B,19790.00,2026-08-01,Wire transfer
DUP-006,REC-BNK-001,BNK-fdfa4396-001,ORD-fdfa4396-B,16450.00,2026-08-06,ACH credit
